AttractionId,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress
59,35,3,Attraction_59,91 Main Rd
60,33,7,Attraction_60,748 Main Rd
61,44,3,Attraction_61,844 Main Rd
62,36,6,Attraction_62,890 Main Rd
63,18,7,Attraction_63,223 Main Rd
64,46,4,Attraction_64,892 Main Rd
65,20,6,Attraction_65,116 Main Rd
66,16,3,Attraction_66,518 Main Rd
67,43,1,Attraction_67,469 Main Rd
68,18,1,Attraction_68,316 Main Rd
69,4,4,Attraction_69,23 Main Rd
70,23,8,Attraction_70,771 Main Rd
71,38,2,Attraction_71,335 Main Rd
72,9,4,Attraction_72,661 Main Rd
73,22,6,Attraction_73,410 Main Rd
74,7,2,Attraction_74,373 Main Rd
75,33,6,Attraction_75,885 Main Rd
76,23,3,Attraction_76,95 Main Rd
77,16,7,Attraction_77,736 Main Rd
78,11,5,Attraction_78,746 Main Rd
79,27,5,Attraction_79,380 Main Rd
80,32,2,Attraction_80,262 Main Rd
81,45,4,Attraction_81,6 Main Rd
82,21,7,Attraction_82,935 Main Rd
83,8,1,Attraction_83,946 Main Rd
84,40,7,Attraction_84,241 Main Rd
85,30,4,Attraction_85,32 Main Rd
86,33,6,Attraction_86,123 Main Rd
87,5,6,Attraction_87,68 Main Rd
88,15,4,Attraction_88,830 Main Rd
89,37,3,Attraction_89,891 Main Rd
90,40,6,Attraction_90,153 Main Rd
91,21,2,Attraction_91,746 Main Rd
92,38,5,Attraction_92,179 Main Rd
93,40,1,Attraction_93,367 Main Rd
94,19,6,Attraction_94,599 Main Rd
95,43,6,Attraction_95,719 Main Rd
96,14,1,Attraction_96,873 Main Rd
97,12,7,Attraction_97,45 Main Rd
98,33,4,Attraction_98,197 Main Rd
99,30,7,Attraction_99,280 Main Rd
100,7,1,Attraction_100,310 Main Rd
101,40,2,Attraction_101,997 Main Rd
102,10,4,Attraction_102,776 Main Rd
103,38,2,Attraction_103,320 Main Rd
104,1,3,Attraction_104,970 Main Rd
105,38,6,Attraction_105,499 Main Rd
106,37,2,Attraction_106,500 Main Rd
107,37,6,Attraction_107,433 Main Rd
108,32,1,Attraction_108,144 Main Rd
109,23,2,Attraction_109,933 Main Rd
110,34,5,Attraction_110,14 Main Rd
111,14,7,Attraction_111,174 Main Rd
112,37,2,Attraction_112,230 Main Rd
113,27,3,Attraction_113,279 Main Rd
114,22,8,Attraction_114,132 Main Rd
115,24,8,Attraction_115,18 Main Rd
116,27,5,Attraction_116,677 Main Rd
117,2,4,Attraction_117,968 Main Rd
118,7,3,Attraction_118,122 Main Rd
119,12,5,Attraction_119,296 Main Rd
120,6,5,Attraction_120,506 Main Rd
121,21,3,Attraction_121,926 Main Rd
122,32,1,Attraction_122,693 Main Rd
123,31,2,Attraction_123,765 Main Rd
124,23,8,Attraction_124,580 Main Rd
125,41,4,Attraction_125,417 Main Rd
126,27,4,Attraction_126,200 Main Rd
127,4,4,Attraction_127,863 Main Rd
128,36,7,Attraction_128,803 Main Rd
129,28,1,Attraction_129,26 Main Rd
130,30,1,Attraction_130,714 Main Rd
131,27,3,Attraction_131,85 Main Rd
132,27,4,Attraction_132,738 Main Rd
133,5,6,Attraction_133,825 Main Rd
134,27,4,Attraction_134,131 Main Rd
135,38,4,Attraction_135,433 Main Rd
136,15,8,Attraction_136,124 Main Rd
137,29,2,Attraction_137,567 Main Rd
138,2,5,Attraction_138,926 Main Rd
139,17,5,Attraction_139,81 Main Rd
140,21,4,Attraction_140,397 Main Rd
141,47,7,Attraction_141,972 Main Rd
142,11,3,Attraction_142,301 Main Rd
143,13,8,Attraction_143,132 Main Rd
144,20,3,Attraction_144,488 Main Rd
145,47,5,Attraction_145,508 Main Rd
146,41,5,Attraction_146,662 Main Rd
147,2,7,Attraction_147,314 Main Rd
148,11,4,Attraction_148,954 Main Rd
149,39,3,Attraction_149,520 Main Rd
150,3,1,Attraction_150,286 Main Rd
